Name,Rating,Fifa Ability Overall,Position,Apps,Aerials Won per game,Man of the match,Tackles,Clearances per game,Passes per game,Pass success percentage,Unnamed: 32,Avg Minutes Played
Daniel Carvajal,7.04,84,D(R),23.0,0.8,1.0,1.7,1.1,64.6,87.4,,91.56521739130434
Roberto Rosales,7.02,74,"D(R), M(R)",20.0,2.4,1.0,2.3,2.9,43.5,77.3,,87.55
Lucas Hernández,7.02,82,D(CL),13.0,1.6,1.0,2.5,3.4,36.4,81.3,,86.07692307692308
Jordi Alba,7.01,87,D(L),32.0,0.5,1.0,1.2,1.6,65.6,85.6,,93.375
Leandro Cabrera,7.01,72,D(CL),31.0,5.0,2.0,1.5,6.7,30.0,50.6,,90.12903225806451
Sergio Reguilón,7,68,D(L),13.0,1.1,0.0,1.8,2.5,47.6,85.9,,86.3076923076923
Diego Godín,6.98,90,D(C),28.0,3.0,1.0,1.7,4.5,34.9,80.5,,89.57142857142857
José Gayá,6.98,80,D(L),35.0,1.0,2.0,2.4,2.7,41.5,81.9,,89.65714285714286
Yeray Álvarez,6.98,77,D(C),30.0,3.4,2.0,1.8,4.8,42.8,80.1,,87.13333333333334
Marc Bartra,6.97,82,D(CR),33.0,2.3,1.0,2.6,3.9,68.7,87.8,,88.78787878787878
"Jean0,00Clair Todibo",6.97,64,"D(C), D(C)",2.0,1.0,1.0,3.5,3.5,59.0,92.4,,79.0
Filipe Luís,6.96,85,D(L),24.0,0.7,0.0,2.4,1.4,47.7,83.1,,84.91666666666667
Unai Núñez,6.96,75,D(C),11.0,3.6,1.0,1.3,4.8,44.7,87.3,,96.63636363636364
Mario Hermoso,6.95,76,D(C),31.0,2.3,3.0,1.2,5.2,50.3,83.9,,90.51612903225806
Rúben Vezo,6.94,77,D(CR),15.0,1.8,0.0,1.7,5.7,33.1,78.0,,89.33333333333333
Dimitrios Siovas,6.94,72,D(C),34.0,3.1,1.0,1.7,4.4,39.7,72.3,,87.20588235294117
Thomas Partey,6.93,82,"D(R), M(CR)",22.0,1.3,5.0,2.1,0.6,41.5,83.8,,93.95454545454545
Aritz Elustondo,6.93,76,D(CR),24.0,2.4,1.0,1.7,5.1,41.0,78.9,,93.875
Jesús Navas,6.93,80,"D(R), M(R)",31.0,0.5,0.0,0.9,1.6,44.3,77.0,,87.54838709677419
Martín Mantovani,6.93,75,D(C),6.0,3.8,1.0,1.7,5.2,25.1,79.6,,116.5
Gabriel Paulista,6.93,82,D(CR),30.0,2.1,1.0,1.0,5.2,43.3,86.7,,87.5
Júnior Firpo,6.93,76,"D(L), M(L)",22.0,1.5,1.0,1.6,1.5,38.9,82.9,,88.04545454545455
Ezequiel Garay,6.92,82,D(C),24.0,3.0,0.0,0.8,5.7,44.6,83.6,,89.04166666666667
Sergio Ramos,6.91,91,D(CR),28.0,2.2,2.0,1.5,3.0,68.5,92.1,,88.42857142857143
Sergi Roberto,6.91,83,"D(R), M(CR)",23.0,1.0,1.0,1.0,0.9,55.9,90.5,,90.82608695652173
Santiago Arias,6.91,78,D(R),20.0,1.7,1.0,1.9,1.4,31.6,81.9,,88.55
Jeison Murillo,6.9,80,D(C),1.0,3.0,0.0,2.0,6.0,17.0,94.1,,90.0
Jorge Miramón,6.9,72,"D(R), M(R)",30.0,1.0,1.0,2.4,1.8,32.8,75.1,,83.2
Naldo,6.9,75,D(C),16.0,2.4,0.0,1.1,6.9,37.5,81.3,,85.375
Vitorino Antunes,6.89,80,D(L),25.0,0.8,0.0,1.5,2.1,28.2,58.2,,87.28
Jonathan Silva,6.89,74,"D(L), M(L)",30.0,0.6,0.0,1.7,2.3,29.6,71.7,,90.0
Damián Suárez,6.89,77,D(R),36.0,0.9,0.0,2.7,1.4,36.8,65.0,,90.0
Ximo Navarro,6.88,75,D(CR),28.0,1.6,1.0,1.8,4.2,26.5,79.1,,90.46428571428571
Clément Lenglet,6.88,82,D(C),22.0,1.9,1.0,2.0,3.0,49.8,89.4,,87.95454545454545
Daniel Carriço,6.88,78,"D(C), DMC",24.0,2.5,1.0,1.5,4.3,41.7,79.7,,88.83333333333333
Pedro Alcalá,6.88,75,D(C),20.0,3.5,1.0,1.3,4.8,34.5,79.4,,93.45
